id,best,avg,entryyear,modul,weighted ,degree,between,pagerank,cluster
9311,96,96,2009,0,13.4586070165,12,596.7515652601,0.0028901769,0.1363636364
93375,18,37.5,2004,4,17.0858737064,11,948.7760293914,0.002950146,0.1090909091
946,40,48,1997,0,0,0,0,0.0003438001,0
94789,19,33.81818,2008,7,21.7276806705,9,591.0601016693,0.0025308843,0.3055555556
951,44,59.5,1997,0,0.6931471806,1,0,0.0006016054,0
95261,48,62.5,1998,0,20.7085325532,15,1594.6503814995,0.0036771859,0.1238095238
952762,77,77,2014,4,5.5451774445,8,1017.3325456742,0.0027394151,0.0714285714
962,8,26.666666,1997,0,4.3820266347,4,167.9987257599,0.0014360394,0.1666666667
9686,7,29,2014,0,3.1780538304,4,5.5739631763,0.0012160856,0.8333333333
9729,59,59,2006,7,8.1478671299,6,93.9490841148,0.0017110935,0.3333333333
97334,65,82.5,2015,0,0,0,0,0.0003438001,0
98,66,66,1999,3,2.302585093,2,0,0.0008772222,1
9838,72,72,1998,0,0,0,0,0.0003438001,0
984353,93,93,2010,7,19.1174437794,10,227.9005594189,0.0030555129,0.3555555556
98633,21,47.5,2009,7,15.2221956087,7,197.2382539539,0.0020900001,0.3333333333
987510,67,84.4,2011,4,8.553332238,10,1986.3848368777,0.0024206653,0.1555555556
9912,63,76.666664,1997,0,23.8036987238,20,1519.376930205,0.00517196,0.1368421053
